,capital,expectativa_vida,razao_dependencia,taxa_envelhecimento,indice_gini,prop_pobreza_extrema,taxa_agua_encanada,taxa_agua_esgoto_inadequados,idhm,ideb,precipitacao_mm_1t,precipitacao_mm_2t,passe_livre_inicio,passe_livre,passe_livre_1t,passe_livre_2t,eleicao_gov_2t,pib,va_agropecuaria,va_industria,va_servicos,va_adespss,abstencao_1t_pct,abstencao_2t_pct,densidade_populacional,automovel_pc,moto_pc,onibus_pc,populacao_rural_pc,populacao_urbana_pc
3972,0,75.08,45.08,7.04,0.46,2.15,94.04,2.9,0.701,4.4,0.0,0.0,,0.0,0.0,0.0,0,662473587,298887917,25133011,201577682,79934025,0.2470389170896785,0.23628233019095962,3.1180723003986626,0.21404821280133002,0.12485453034081463,0.006733167082294264,0.08647342995169083,0.9135265700483092
3973,0,72.01,51.14,8.33,0.47,12.45,87.83,17.33,0.638,3.55,0.2,0.0,,0.0,0.0,0.0,0,122133610,21980835,5446470,26151705,62412713,0.2419986936642717,0.2521227955584585,6.147170493581631,0.07071151814019021,0.08709052483268756,0.0007044734061289186,0.3658851579574806,0.6341148420425193
3974,0,74.95,45.73,3.15,0.46,1.15,99.0,2.49,0.705,6.1,0.0,0.8,,0.0,0.0,0.0,0,857781530,403802309,151003488,170576536,84217872,0.26096343273512346,0.2635271893131831,7.550560984336431,0.1996865492762976,0.08702867152207984,0.0036876555729694845,0.09278989098116948,0.9072101090188305
3975,0,73.54,46.88,4.04,0.46,6.82,91.6,7.33,0.675,4.766666666666667,0.0,0.0,,0.0,0.0,0.0,0,166943844,23079187,10190030,55192182,63451441,0.2529298583172993,0.24838201854119293,0.494557476237033,0.07993684002763249,0.2212572781999408,0.002467186420605941,0.255632076572896,0.744367923427104
3976,0,74.01,44.01,7.38,0.43,3.77,94.3,1.98,0.687,4.366666666666667,0.0,0.0,,0.0,0.0,0.0,0,68923001,24753509,2064310,13004302,24824298,0.2630085146641438,0.26048565121412803,0.4858401115865031,0.12032258064516128,0.10419354838709677,0.0025806451612903226,0.3152955896152643,0.6847044103847357
3977,0,75.61,52.01,11.77,0.4,1.32,96.12,2.44,0.701,5.0,0.0,0.0,,0.0,0.0,0.0,0,21073842,3641866,760516,4515474,11106870,0.19961612284069097,0.23512476007677544,1.3847113062048395,0.08983957219251337,0.05026737967914439,0.0010695187165775401,0.1386861313868613,0.8613138686131386
3978,0,74.56,44.86,5.71,0.5,3.56,93.6,3.66,0.725,4.833333333333333,0.0,0.0,,0.0,0.0,0.0,0,472441766,19259434,150177469,153236975,100474843,0.2728027222176114,0.25529089551000084,10.258987286344789,0.2075258589941743,0.2583521578884794,0.00231839258114374,0.2057749967409725,0.7942250032590275
3979,0,72.56,47.31,6.58,0.46,2.51,84.85,7.34,0.704,4.6000000000000005,0.2,0.0,,0.0,0.0,0.0,0,177236224,15974906,13223334,76219538,57339638,0.23851502359076235,0.24596473801837596,23.019765800779705,0.2514832934318726,0.23555740605808265,0.007806807536171542,0.054866227219852653,0.9451337727801473
3980,0,73.97,49.27,3.09,0.56,14.66,90.86,9.19,0.675,4.166666666666667,0.0,0.0,,0.0,0.0,0.0,0,938896053,67297358,472555506,179383262,135556629,0.33106948813268516,0.30990849299399487,0.9058220971722539,0.10897378545226805,0.2861680236199338,0.0043392681399302135,0.3738743567753002,0.6261256432246999
3981,0,74.2,50.07,8.54,0.5,13.62,71.56,23.0,0.6,3.6666666666666665,0.0,1.0,,0.0,0.0,0.0,0,90421560,20064874,2429259,15550335,48544282,0.1861910994764398,0.23298429319371727,0.752887592932914,0.03421298458664176,0.04075198505371322,0.0008173750583839327,0.5492030035568436,0.45079699644315635
3982,0,74.05,48.03,4.8,0.51,6.96,94.44,8.63,0.693,4.166666666666667,0.0,0.0,,0.0,0.0,0.0,0,1293216759,380432460,297951937,303211219,209860732,0.2563070539419087,0.25095435684647305,5.850225134786403,0.15909740891151405,0.17268203397586226,0.006434822398901791,0.18233573428113106,0.817664265718869
3983,0,74.01,43.31,6.35,0.55,4.09,97.46,0.85,0.748,4.566666666666666,0.0,0.0,,0.0,0.0,0.0,0,2110337295,83576177,322369665,1116649416,371794397,0.2798752015411353,0.2628933978264966,6.6918926993854875,0.28632072379204093,0.2795515636268275,0.004359798072510326,0.09923974540311174,0.9007602545968882
3984,0,72.02,49.1,4.29,0.48,3.91,87.11,9.69,0.661,4.15,0.0,0.0,,0.0,0.0,0.0,0,319517853,174987422,11586991,66863545,43848653,0.3060327606871754,0.31721933679584496,1.5421985845523263,0.16200607902735562,0.24407294832826748,0.00547112462006079,0.5016936394429808,0.4983063605570192
3985,0,76.0,48.2,3.68,0.53,9.04,88.98,12.83,0.696,4.366666666666666,0.0,0.0,,0.0,0.0,0.0,0,948543690,454758019,55257708,237981590,132407851,0.29304369875750147,0.28315442481616093,1.233376888226746,0.13399339933993398,0.148007108403148,0.0046204620462046205,0.3463567102949795,0.6536432897050205
3986,0,73.76,49.66,6.39,0.53,4.69,95.51,7.91,0.708,4.1,0.0,0.0,,0.0,0.0,0.0,0,1910179938,129345530,157692929,882920663,546049706,0.27708033618535627,0.2714015294919361,3.8460411503092757,0.1896986521997118,0.2135606510129694,0.004471475798931932,0.12933524368333674,0.8706647563166633
3987,0,73.17,82.49,5.0,0.69,37.82,81.44,6.13,0.538,4.1,0.0,0.0,,0.0,0.0,0.0,0,295587048,67826481,29563628,76746168,102523485,0.2736440180144899,0.2603289602506364,2.6726944456291495,0.08235294117647059,0.1586357947434293,0.002002503128911139,0.6630548759175113,0.33694512408248867
3988,0,74.15,41.85,2.18,0.45,0.73,97.56,0.34,0.734,4.8,0.0,6.0,,0.0,0.0,0.0,0,3400992703,1323744192,475284794,1049959757,257369290,0.25596101625562623,0.23367927686642115,3.750297234389123,0.2735011312217195,0.1680712669683258,0.007211538461538462,0.07227037023606629,0.9277296297639337
3989,0,75.06,43.93,3.46,0.51,1.51,92.24,3.18,0.75,5.0,0.0,0.0,,0.0,0.0,0.0,0,2367226846,887168693,285276539,695387656,277507910,0.23671986095749722,0.23216937904882287,9.230837591460034,0.2504484457664449,0.1541064008537499,0.004881814672691356,0.1936433568647314,0.8063566431352686
