aa_eleicao;nm_pais;nm_regiao;sg_uf;nm_municipio;ds_grau_escolaridade;qt_eleitor_apto;qt_eleitor_comp;qt_eleitor_abstencao
2022;Brasil;NORTE;AC;ACRELÂNDIA;ANALFABETO;880;511;369
2022;Brasil;NORTE;AC;ACRELÂNDIA;ENSINO FUNDAMENTAL COMPLETO;614;490;124
2022;Brasil;NORTE;AC;ACRELÂNDIA;ENSINO FUNDAMENTAL INCOMPLETO;1818;1336;482
2022;Brasil;NORTE;AC;ACRELÂNDIA;ENSINO MÉDIO COMPLETO;1983;1613;370
2022;Brasil;NORTE;AC;ACRELÂNDIA;ENSINO MÉDIO INCOMPLETO;1323;1016;307
2022;Brasil;NORTE;AC;ACRELÂNDIA;LÊ E ESCREVE;2052;1602;450
2022;Brasil;NORTE;AC;ACRELÂNDIA;SUPERIOR COMPLETO;554;488;66
2022;Brasil;NORTE;AC;ACRELÂNDIA;SUPERIOR INCOMPLETO;305;241;64
2022;Brasil;NORTE;AC;ASSIS BRASIL;ANALFABETO;834;496;338
2022;Brasil;NORTE;AC;ASSIS BRASIL;ENSINO FUNDAMENTAL COMPLETO;376;325;51
2022;Brasil;NORTE;AC;ASSIS BRASIL;ENSINO FUNDAMENTAL INCOMPLETO;1602;1286;316
2022;Brasil;NORTE;AC;ASSIS BRASIL;ENSINO MÉDIO COMPLETO;752;644;108
2022;Brasil;NORTE;AC;ASSIS BRASIL;ENSINO MÉDIO INCOMPLETO;1100;909;191
2022;Brasil;NORTE;AC;ASSIS BRASIL;LÊ E ESCREVE;1324;1021;303
2022;Brasil;NORTE;AC;ASSIS BRASIL;SUPERIOR COMPLETO;180;141;39
2022;Brasil;NORTE;AC;ASSIS BRASIL;SUPERIOR INCOMPLETO;220;196;24
2022;Brasil;NORTE;AC;BRASILÉIA;ANALFABETO;1190;675;515
2022;Brasil;NORTE;AC;BRASILÉIA;ENSINO FUNDAMENTAL COMPLETO;947;783;164
2022;Brasil;NORTE;AC;BRASILÉIA;ENSINO FUNDAMENTAL INCOMPLETO;4447;3519;928
2022;Brasil;NORTE;AC;BRASILÉIA;ENSINO MÉDIO COMPLETO;3966;3404;562
2022;Brasil;NORTE;AC;BRASILÉIA;ENSINO MÉDIO INCOMPLETO;2680;2164;516
2022;Brasil;NORTE;AC;BRASILÉIA;LÊ E ESCREVE;2469;1871;598
2022;Brasil;NORTE;AC;BRASILÉIA;SUPERIOR COMPLETO;1588;1382;206
