,id_municipio,pib,va_agropecuaria,va_industria,va_servicos,va_adespss
404,1716505,478126822,181098731,36016314,130541652,92524151
405,1716604,754101528,264826829,341865179,51744029,83298996
406,1716653,78631247,19735787,2578283,14449690,38771881
407,1716703,151861105,20635941,8534791,58618078,55070441
408,1717008,58384191,12558116,2214833,9941558,31851900
409,1717206,56933407,24328217,1055495,7271934,23066632
410,1717503,196563202,103212240,6933251,26580850,53110970
411,1717800,53250399,6784650,1925228,10474103,30842235
412,1717909,93335947,13675825,3865520,18539251,53213845
413,1718006,34848984,2687604,1661962,6429031,22703748
414,1718204,1868578458,205993417,239220819,804304214,383619418
415,1718303,80908764,7891112,2620825,10983700,57429234
416,1718402,52469886,8177483,2525941,13603480,24910421
417,1718451,63456900,8567185,4745409,22531144,21705660
418,1718501,47713839,7276907,891901,7863807,30312799
419,1718550,51888725,7768972,1193987,7441776,34136908
420,1718659,23166424,569723,836672,3490128,17824315
421,1718709,54771387,24310668,1349430,7390126,20494356
422,1718758,78947862,18811700,2455055,11470114,43681187
423,1718808,44538393,3584343,995247,6894203,31902717
424,1718840,78445604,34523119,1853213,14343200,24480385
425,1718865,124556551,34994285,6263362,26476824,50355278
426,1718881,58071371,21341594,1708235,8583392,24889982
427,1718899,120892850,43961119,2718038,44299507,18697474
428,1718907,144876942,65360001,4372970,34341568,33040985
429,1719004,36095960,4184278,899121,7249607,21980210
430,1720002,32724949,7284806,916381,4853074,18671445
431,1720101,57175205,7873451,1537637,10423994,35205155
432,1720150,23257321,3973923,887329,4479607,13311292
433,1720200,221612246,109129442,4473905,21868085,81645760
434,1720259,36386752,5774756,1091000,6038430,22557555
435,1720309,50351149,6904398,2328050,7201812,32704986
436,1720499,94746068,34248707,2656134,23226303,29382223
437,1720655,173720149,59606223,10133154,55938081,37325749
438,1720804,105515572,11957240,4242567,20658917,64714347
439,1720853,61841160,37043809,1646391,7166658,14683329
440,1720903,236669611,26034432,19550691,69450357,108422787
441,1720937,27860398,3913767,1169868,4434555,17352275
442,1720978,89542042,40260646,3349356,17171361,25062504
443,1721000,10449601212,64374490,1174683210,5517115935,2215204556
444,1721109,129064335,51862581,5086241,18141179,50701194
445,1721208,325410298,10145444,30648909,112420260,142258272
446,1721257,53895105,27592819,1638333,7222321,16186738
447,1721307,31483137,4472264,1105101,4470222,20569840
448,1722081,134843121,12598973,12290138,28141747,72046727
449,1722107,281086468,19480234,90038367,68118512,79643804
450,2100055,2357042798,213901516,588665243,813111511,439784043
451,2100105,46161765,11485450,1785106,9496763,22080343
452,2100154,86648429,5035081,3013907,23297831,51595740
453,2100204,125751639,12943309,7103288,30632728,69257155
454,2100303,199596818,41696207,14866778,38263374,96684230
455,2100402,58788527,11562339,1826430,11970163,31011951
456,2100436,262723370,6537675,13641945,121475326,88676787
457,2100477,206103394,19306214,7800750,48232822,120075260
458,2100501,339118501,191807981,12419262,77234591,43842899
459,2100550,51979810,8319035,1462027,13035641,26616959
460,2100600,306976971,74427469,9295892,71287652,138523900
461,2100709,171295332,34123936,5106046,38900307,87593944
462,2100808,121105906,15352473,5502628,33662576,61674444
463,2100832,117759208,15187523,3776462,27909534,65975311
464,2100873,79631955,9177286,2172100,15031157,50664310
465,2100907,270227984,28539034,8056857,69746539,150758159
466,2100956,236635597,47071168,7628343,59689662,110245582
467,2101004,252650299,40172604,9597337,81289937,105513582
468,2101103,78701611,10895872,2903742,19787436,41179618
