,passe_livre_inicio,id_municipio,passe_livre
0,,5200050,0.0
1,,5200100,0.0
2,,5200134,0.0
3,,5200159,0.0
4,,5200175,0.0
5,,5200209,0.0
6,,5200258,0.0
7,,5200308,0.0
8,,5200506,0.0
9,,5200555,0.0
10,,5200605,0.0
11,,5200803,0.0
12,,5200829,0.0
13,,5200852,0.0
14,,5200902,0.0
15,,5201108,0.0
16,,5201207,0.0
17,2014.0,5201306,1.0
18,,5201405,0.0
19,,5201454,0.0
20,,5201504,0.0
21,,5201603,0.0
22,,5201702,0.0
23,,5201801,0.0
24,,5202155,0.0
25,,5202353,0.0
26,2008.0,5202502,1.0
27,,5202601,0.0
28,,5202809,0.0
29,,5203104,0.0
30,,5203203,0.0
31,,5203302,0.0
32,,5203401,0.0
33,,5203500,0.0
34,,5203559,0.0
35,,5203575,0.0
36,,5203609,0.0
37,,5203807,0.0
38,,5203906,0.0
39,,5203939,0.0
40,,5203962,0.0
41,,5204003,0.0
42,,5204102,0.0
43,,5204201,0.0
44,,5204250,0.0
45,,5204300,0.0
46,,5204409,0.0
47,,5204508,0.0
48,,5204557,0.0
49,,5204607,0.0
50,,5204656,0.0
51,,5204706,0.0
52,,5204805,0.0
53,,5204854,0.0
54,,5204904,0.0
55,,5204953,0.0
56,,5205000,0.0
57,,5205059,0.0
58,,5205109,0.0
59,,5205208,0.0
60,,5205307,0.0
61,,5205406,0.0
62,,5205455,0.0
63,,5205471,0.0
64,,5205497,0.0
65,,5205513,0.0
66,,5205521,0.0
67,,5205703,0.0
68,,5205802,0.0
69,,5205901,0.0
70,,5206206,0.0
71,,5206305,0.0
72,,5206404,0.0
73,,5206503,0.0
74,,5206602,0.0
75,,5206701,0.0
76,,5206800,0.0
77,,5206909,0.0
78,,5207105,0.0
79,,5208301,0.0
80,,5207253,0.0
81,,5207352,0.0
82,,5207402,0.0
83,,5207501,0.0
84,,5207535,0.0
85,,5207600,0.0
86,,5207808,0.0
87,,5207907,0.0
88,2021.0,5208004,1.0
89,,5208103,0.0
90,,5208152,0.0
91,,5208400,0.0
92,,5208509,0.0
93,,5208608,0.0
94,,5208707,0.0
95,,5208806,0.0
