,id_municipio,total,automovel,bonde,caminhao,caminhao trator,caminhonete,camioneta,chassi plataf,ciclomotor,micro-onibus,motocicleta,motoneta,onibus,quadriciclo,reboque,semi-reboque,side-car,outros,trator estei,trator rodas,triciclo,utilitario
5098,2702207,1275.0,521.0,0.0,13.0,0.0,51.0,18.0,0.0,49.0,2.0,573.0,11.0,8.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
5099,2702306,15598.0,4743.0,0.0,372.0,39.0,1088.0,205.0,0.0,129.0,91.0,6184.0,1617.0,259.0,0.0,583.0,191.0,0.0,1.0,0.0,1.0,1.0,94.0
5100,2702355,7135.0,2095.0,0.0,220.0,19.0,541.0,81.0,0.0,26.0,42.0,3348.0,585.0,42.0,0.0,78.0,33.0,0.0,0.0,0.0,1.0,0.0,24.0
5101,2702405,24389.0,8742.0,0.0,951.0,52.0,1984.0,355.0,1.0,342.0,488.0,9274.0,1568.0,143.0,0.0,275.0,112.0,0.0,8.0,0.0,0.0,13.0,81.0
5102,2702504,3248.0,765.0,0.0,103.0,5.0,181.0,54.0,0.0,1.0,19.0,1915.0,90.0,15.0,0.0,65.0,25.0,1.0,0.0,0.0,5.0,0.0,4.0
5103,2702553,3893.0,1141.0,0.0,63.0,1.0,281.0,30.0,0.0,8.0,88.0,2066.0,106.0,29.0,0.0,61.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0
5104,2702603,5522.0,1169.0,0.0,100.0,9.0,442.0,46.0,0.0,7.0,8.0,3037.0,595.0,54.0,0.0,32.0,12.0,1.0,0.0,0.0,0.0,0.0,10.0
5105,2702702,748.0,281.0,0.0,15.0,0.0,67.0,8.0,0.0,6.0,4.0,287.0,38.0,8.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0
5106,2702801,1774.0,772.0,0.0,37.0,0.0,110.0,38.0,0.0,3.0,20.0,636.0,32.0,52.0,0.0,48.0,18.0,0.0,0.0,0.0,0.0,1.0,7.0
5107,2702900,10400.0,3047.0,0.0,215.0,4.0,595.0,108.0,0.0,13.0,84.0,5446.0,661.0,110.0,0.0,83.0,16.0,0.0,0.0,0.0,0.0,1.0,17.0
5108,2703007,2630.0,823.0,0.0,66.0,2.0,188.0,46.0,0.0,2.0,72.0,1227.0,116.0,30.0,0.0,39.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0
5109,2703106,6467.0,1898.0,0.0,143.0,0.0,441.0,58.0,0.0,5.0,120.0,3270.0,377.0,47.0,0.0,74.0,27.0,0.0,0.0,0.0,0.0,0.0,7.0
5110,2703205,5226.0,1106.0,0.0,70.0,3.0,171.0,38.0,0.0,16.0,25.0,3277.0,284.0,119.0,0.0,70.0,39.0,0.0,1.0,0.0,0.0,0.0,7.0
5111,2703304,4846.0,1070.0,0.0,94.0,10.0,366.0,35.0,0.0,2.0,37.0,2871.0,290.0,9.0,0.0,47.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0
5112,2703403,1095.0,348.0,0.0,34.0,4.0,60.0,6.0,0.0,1.0,16.0,556.0,25.0,22.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5113,2703502,754.0,276.0,0.0,15.0,0.0,52.0,31.0,0.0,1.0,14.0,318.0,10.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5114,2703601,1759.0,784.0,0.0,29.0,0.0,113.0,42.0,0.0,35.0,20.0,630.0,41.0,14.0,0.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0
5115,2703700,999.0,381.0,0.0,27.0,2.0,81.0,7.0,0.0,0.0,15.0,429.0,36.0,6.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
5116,2703759,1552.0,518.0,0.0,39.0,5.0,120.0,22.0,0.0,9.0,9.0,673.0,46.0,50.0,0.0,48.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0
5117,2703809,3097.0,1119.0,0.0,135.0,7.0,224.0,53.0,0.0,9.0,35.0,1256.0,49.0,99.0,0.0,84.0,18.0,0.0,0.0,0.0,0.0,1.0,8.0
5118,2703908,745.0,302.0,0.0,23.0,0.0,53.0,22.0,0.0,0.0,9.0,296.0,7.0,15.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5119,2704005,6666.0,1779.0,0.0,198.0,78.0,430.0,66.0,1.0,10.0,29.0,2816.0,774.0,123.0,0.0,221.0,126.0,3.0,0.0,0.0,0.0,0.0,12.0
5120,2704104,5739.0,1539.0,0.0,111.0,4.0,310.0,52.0,0.0,12.0,35.0,3052.0,485.0,46.0,0.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0
