,id_municipio,ideb
0,1100015,5.133333333333334
1,1100023,4.766666666666667
2,1100031,4.85
3,1100049,5.166666666666667
4,1100056,5.433333333333334
5,1100064,5.366666666666667
6,1100072,5.166666666666667
7,1100080,4.566666666666666
8,1100098,5.266666666666667
9,1100106,4.5
10,1100114,4.966666666666666
11,1100122,4.966666666666667
12,1100130,4.5
13,1100148,5.866666666666667
14,1100155,4.933333333333334
15,1100189,4.8999999999999995
16,1100205,4.633333333333334
17,1100254,5.233333333333333
18,1100262,4.066666666666666
19,1100288,5.3
20,1100296,5.433333333333334
21,1100304,4.8
22,1100320,4.6
23,1100338,4.466666666666667
24,1100346,5.0
25,1100379,4.7
26,1100403,4.1000000000000005
27,1100452,4.833333333333333
28,1100502,5.433333333333333
29,1100601,4.75
30,1100700,4.566666666666666
31,1100809,4.2
32,1100908,4.6
33,1100924,4.6
34,1100940,4.15
35,1101005,4.733333333333333
36,1101104,4.1000000000000005
37,1101203,5.233333333333333
38,1101302,4.533333333333333
39,1101401,4.550000000000001
40,1101435,4.6000000000000005
41,1101450,4.6
42,1101468,4.333333333333333
43,1101476,5.066666666666666
44,1101484,4.733333333333333
45,1101492,5.066666666666667
46,1101500,4.8
47,1101559,4.966666666666667
48,1101609,4.933333333333333
49,1101708,4.8
50,1101757,4.8
51,1101807,4.6000000000000005
52,1200013,4.5
53,1200054,4.633333333333334
54,1200104,5.8
55,1200138,4.05
56,1200179,4.233333333333333
57,1200203,4.833333333333333
58,1200252,5.5
59,1200302,4.633333333333334
60,1200328,4.266666666666667
61,1200336,4.633333333333333
62,1200344,5.1
63,1200351,3.9
64,1200385,4.533333333333334
65,1200393,4.033333333333333
66,1200401,5.066666666666666
67,1200427,4.6000000000000005
68,1200435,3.5666666666666664
69,1200450,4.633333333333333
70,1200500,4.833333333333333
71,1200609,4.466666666666667
72,1200708,4.733333333333333
73,1200807,4.0
74,1300029,3.3333333333333335
75,1300060,3.733333333333333
76,1300086,4.333333333333333
77,1300102,4.533333333333334
78,1300144,4.366666666666667
79,1300201,3.45
80,1300300,3.8000000000000003
81,1300409,4.233333333333333
82,1300508,3.8000000000000003
83,1300607,4.1
84,1300631,3.4333333333333336
85,1300680,3.733333333333333
86,1300706,4.566666666666666
87,1300805,3.6333333333333333
88,1300839,3.733333333333333
89,1300904,3.5666666666666664
90,1301001,4.133333333333334
91,1301100,3.8333333333333335
92,1301159,3.8666666666666667
93,1301209,3.7999999999999994
94,1301308,3.766666666666667
95,1301407,3.6999999999999997
96,1301506,3.466666666666667
97,1301605,3.1666666666666665
98,1301654,3.4
99,1301704,3.866666666666667
100,1301803,3.266666666666667
101,1301852,4.1000000000000005
102,1301902,4.533333333333333
103,1301951,2.9666666666666663
104,1302009,4.466666666666667
105,1302108,3.3333333333333335
106,1302207,3.266666666666667
107,1302306,3.466666666666667
108,1302405,3.8000000000000003
109,1302504,4.566666666666666
110,1302553,3.4
111,1302603,4.733333333333333
112,1302702,4.166666666666667
113,1302801,3.1
