,area,id_municipio
294,3779.348,1508407
295,7713.046,1600055
296,8454.847,1600105
297,9622.29,1600154
298,14117.297,1600204
299,2179.114,1600212
300,4973.855,1600238
301,1622.867,1600253
302,30782.998,1600279
303,6563.849,1600303
304,13294.778,1600402
305,23034.392,1600501
306,4428.013,1600535
307,4948.508,1600550
308,1541.224,1600600
309,6684.705,1600709
310,2508.979,1600808
311,1906.295,1700251
312,236.792,1700301
313,1580.999,1700350
314,4007.152,1700400
315,1207.201,1700707
316,1581.058,1701002
317,447.549,1701051
318,1159.034,1701101
319,1168.213,1701309
320,2774.505,1701903
321,5155.223,1702000
322,4004.646,1702109
323,834.834,1702158
324,2633.278,1702208
325,1558.138,1702307
326,5803.085,1702406
327,388.81,1702554
328,696.194,1702703
329,153.539,1702901
330,1790.297,1703008
331,1540.541,1703057
332,1105.84,1703073
333,697.759,1703107
334,924.045,1703206
335,1326.947,1703305
336,645.908,1703602
337,1722.59,1703701
338,252.73,1703800
339,351.535,1703826
340,3234.445,1703842
341,1126.291,1703867
342,339.366,1703883
343,190.352,1703891
344,1680.014,1703909
345,1953.134,1704105
346,658.564,1704600
347,1640.833,1705102
348,842.488,1705508
349,208.791,1705557
350,2530.647,1705607
351,1584.196,1706001
352,1850.75,1706100
353,983.766,1706258
354,1641.77,1706506
355,3318.094,1707009
356,2358.282,1707108
357,3747.645,1707207
358,3420.657,1707306
359,506.175,1707405
360,380.373,1707553
361,1935.709,1707652
362,1991.258,1707702
363,13431.861,1708205
364,624.463,1708254
365,1797.229,1708304
366,6414.846,1709005
367,2275.562,1709302
368,1844.164,1709500
369,821.152,1709807
370,3047.204,1710508
371,730.163,1710706
372,1246.349,1710904
373,969.794,1711100
374,2167.201,1711506
375,483.452,1711803
376,10563.181,1711902
377,917.632,1711951
378,318.292,1712009
379,468.006,1712157
380,5716.641,1712405
381,281.543,1712454
382,2089.575,1712504
383,9589.273,1712702
384,736.303,1712801
385,2663.745,1713205
386,1033.301,1713304
387,3601.205,1713601
388,1072.92,1713700
389,743.407,1713809
390,1194.368,1713957
391,3241.672,1714203
392,395.997,1714302
393,1567.834,1714880
394,514.791,1715002
395,2678.262,1715101
396,200.412,1715150
397,1213.893,1715259
398,209.292,1715507
399,2638.465,1715705
400,1708.981,1715754
401,1292.267,1716109
402,11217.373,1716208
403,1375.551,1716307
404,2019.556,1716505
405,5303.612,1716604
406,1206.118,1716653
407,992.22,1716703
408,1560.551,1717008
409,1363.412,1717206
410,10003.549,1717503
411,1718.791,1717800
412,6542.838,1717909
413,506.717,1718006
414,4434.68,1718204
415,300.999,1718303
416,771.716,1718402
417,401.174,1718451
418,2215.669,1718501
419,512.156,1718550
420,845.823,1718659
421,847.255,1718709
422,6346.279,1718758
423,222.435,1718808
424,3535.135,1718840
425,1671.239,1718865
426,1412.318,1718881
427,3281.219,1718899
428,1804.687,1718907
429,539.511,1719004
430,274.104,1720002
431,1099.58,1720101
432,1913.11,1720150
433,406.957,1720200
434,1424.753,1720259
435,289.597,1720309
436,2520.465,1720499
437,1258.771,1720655
438,307.095,1720804
439,1018.222,1720853
440,2341.919,1720903
441,1105.303,1720937
442,2155.503,1720978
443,2227.329,1721000
444,2609.775,1721109
445,1083.6,1721208
446,706.883,1721257
447,889.126,1721307
448,1365.431,1722081
449,1190.489,1722107
450,5805.159,2100055
451,371.338,2100105
452,442.292,2100154
453,1167.964,2100204
454,1942.121,2100303
455,524.374,2100402
456,392.75,2100436
457,1875.901,2100477
458,11127.384,2100501
459,502.402,2100550
460,7439.615,2100600
461,940.489,2100709
462,608.903,2100808
463,341.12,2100832
464,805.194,2100873
465,1789.73,2100907
466,2976.039,2100956
467,1100.275,2101004
468,160.462,2101103
469,1656.736,2101202
470,542.962,2101251
471,850.491,2101301
472,413.651,2101350
473,13141.162,2101400
474,2209.414,2101509
475,5187.673,2101608
476,3046.308,2101707
477,569.606,2101731
478,147.954,2101772
479,1784.64,2101806
480,790.222,2101905
481,247.186,2101939
482,400.35,2101970
483,6588.38,2102002
484,2676.98,2102036
485,445.171,2102077
486,1073.258,2102101
487,986.036,2102150
488,1475.779,2102200
489,1582.552,2102309
490,2544.857,2102325
491,820.968,2102358
492,865.04,2102374
493,545.244,2102408
494,662.066,2102507
495,613.529,2102556
496,1634.861,2102606
497,773.01,2102705
498,590.267,2102754
499,6267.675,2102804
500,1260.977,2102903
501,5201.927,2103000
502,285.211,2103109
503,319.538,2103125
504,1167.848,2103158
505,8401.003,2103174
506,3247.385,2103208
507,1462.809,2103257
508,4361.606,2103307
509,977.079,2103406
510,1978.695,2103505
511,725.664,2103554
512,2263.692,2103604
513,1257.608,2103703
514,332.249,2103752
515,358.493,2103802
516,317.494,2103901
517,452.411,2104008
518,2720.266,2104057
519,1625.822,2104073
520,5086.589,2104081
521,3690.61,2104099
522,1853.406,2104107
523,834.83,2104206
524,720.129,2104305
525,883.588,2104404
526,445.856,2104503
527,615.957,2104552
528,647.989,2104602
529,401.587,2104628
530,1144.146,2104651
531,1037.13,2104677
532,271.445,2104701
533,8861.717,2104800
534,478.857,2104909
535,1714.625,2105005
536,1124.445,2105104
537,368.685,2105153
538,346.218,2105203
539,1369.039,2105302
540,1244.398,2105351
541,1480.641,2105401
542,3583.423,2105427
543,591.616,2105450
544,1962.362,2105476
545,1137.104,2105500
546,703.081,2105609
547,568.499,2105658
548,1240.444,2105708
549,328.525,2105807
550,631.455,2105906
551,1512.985,2105922
552,220.776,2105948
553,744.199,2105963
554,1063.619,2105989
555,321.932,2106003
556,3597.231,2106102
557,472.296,2106201
558,434.433,2106300
559,635.758,2106326
560,1402.593,2106359
561,760.947,2106375
562,548.548,2106409
563,410.632,2106508
564,2108.671,2106607
565,794.454,2106631
566,634.818,2106672
567,8522.351,2106706
568,341.107,2106755
569,686.942,2106805
570,1245.548,2106904
571,1488.513,2107001
572,1712.121,2107100
573,542.373,2107209
574,743.085,2107258
575,978.34,2107308
576,2452.615,2107357
577,695.333,2107407
578,199.879,2107456
579,127.193,2107506
580,532.161,2107605
581,530.517,2107704
582,3245.525,2107803
583,1358.327,2107902
584,1635.181,2108009
585,979.482,2108058
586,1168.609,2108108
587,262.066,2108207
588,1753.867,2108256
589,800.916,2108306
590,397.994,2108405
591,824.725,2108454
592,268.285,2108504
593,1512.969,2108603
594,545.14,2108702
595,688.761,2108801
596,990.415,2108900
597,1420.51,2109007
598,244.979,2109056
599,771.574,2109106
600,355.568,2109205
601,437.687,2109239
602,726.172,2109270
603,330.765,2109304
604,1337.161,2109403
605,79.213,2109452
606,6402.83,2109502
607,733.458,2109551
608,647.998,2109601
609,2476.132,2109700
610,623.213,2109759
611,2191.168,2109809
612,786.689,2109908
613,4837.169,2110005
614,1010.483,2110039
615,1430.33,2110104
616,756.797,2110203
617,932.03,2110237
618,1582.806,2110278
619,770.923,2110302
620,931.485,2110401
621,456.997,2110500
622,1005.824,2110609
623,961.249,2110658
624,1151.978,2110708
625,2032.599,2110807
626,745.357,2110856
627,2284.217,2110906
628,649.956,2111003
629,910.065,2111029
630,2052.328,2111052
631,1438.067,2111078
632,1483.255,2111102
633,180.363,2111201
634,353.72,2111250
635,583.063,2111300
636,909.164,2111409
637,800.045,2111508
638,720.461,2111532
639,979.915,2111573
640,3524.501,2111607
641,419.55,2111631
642,226.811,2111672
643,393.928,2111706
644,441.811,2111722
645,426.437,2111748
646,738.187,2111763
647,1165.318,2111789
648,3114.683,2111805
649,1074.435,2111904
650,862.226,2111953
651,4369.159,2112001
652,1486.584,2112100
653,1763.22,2112209
654,291.61,2112233
655,270.934,2112274
656,3369.121,2112308
657,2622.281,2112407
658,1507.622,2112456
659,1566.08,2112506
660,1707.621,2112605
661,1958.702,2112704
662,1166.745,2112803
663,1190.008,2112852
664,716.719,2112902
665,1193.385,2113009
666,2140.109,2114007
667,1280.838,2200053
668,112.392,2200103
669,96.843,2200202
670,535.89,2200251
671,243.732,2200277
672,1743.331,2200301
673,957.232,2200400
674,2131.506,2200459
675,1152.127,2200509
676,222.008,2200608
677,337.877,2200707
678,644.8,2200806
679,821.212,2200905
680,316.235,2200954
681,682.727,2201002
682,1690.703,2201051
683,1220.371,2201101
684,7808.915,2201150
685,263.943,2201176
686,1722.507,2201200
687,2168.713,2201309
688,159.436,2201408
689,1589.01,2201507
690,499.092,2201556
691,243.234,2201572
692,937.098,2201606
693,1216.116,2201705
694,579.576,2201739
695,336.954,2201770
696,261.651,2201804
697,5471.024,2201903
698,523.142,2201919
699,289.149,2201929
700,269.786,2201945
