,codigo_tse,qt_aptos_1t_2022,qt_aptos_2t_2022,qt_comparecimento_1t_2022,qt_comparecimento_2t_2022,qt_abstencao_1t_2022,qt_abstencao_2t_2022,qt_aptos_1t_2020,qt_aptos_2t_2020,qt_comparecimento_1t_2020,qt_comparecimento_2t_2020,qt_abstencao_1t_2020,qt_abstencao_2t_2020,qt_aptos_1t_2018,qt_aptos_2t_2018,qt_comparecimento_1t_2018,qt_comparecimento_2t_2018,qt_abstencao_1t_2018,qt_abstencao_2t_2018,id_municipio
40,680,11101,11101,7903,7715,3198,3386,10544.0,,7755.0,,2789.0,,10694,10694,7660,7155,3034,3539,1100940
41,698,6390,6390,4747,4698,1643,1692,6335.0,,4817.0,,1518.0,,6225,6225,4701,4296,1524,1929,1101757
42,701,3261,3261,2482,2385,779,876,3279.0,,2687.0,,592.0,,3073,3073,2499,2365,574,708,1101450
43,710,4431,4431,3416,3532,1015,899,4376.0,,3643.0,,733.0,,4372,4372,3644,3539,728,833,1101484
44,728,2872,2872,2260,2271,612,601,2803.0,,2216.0,,587.0,,2773,2773,2209,2105,564,668,1101476
45,736,8354,8354,6463,6508,1891,1846,8093.0,,6390.0,,1703.0,,8097,8097,6716,6565,1381,1532,1100379
46,744,5571,5571,4137,4185,1434,1386,5564.0,,4227.0,,1337.0,,5647,5647,4161,4034,1486,1613,1101435
47,752,4091,4091,3049,3071,1042,1020,4110.0,,3192.0,,918.0,,4164,4164,3074,2986,1090,1178,1101559
48,779,22970,22970,15876,16133,7094,6837,22608.0,,14804.0,,7804.0,,23065,23065,16517,16008,6548,7057,1100452
49,787,1988,1988,1509,1467,479,521,1944.0,,1642.0,,302.0,,1747,1747,1477,1341,270,406,1101468
50,795,12555,12555,9377,9317,3178,3238,12248.0,,9342.0,,2906.0,,11085,11085,8516,8068,2569,3017,1101492
51,809,7312,7312,5114,5041,2198,2271,7266.0,,5522.0,,1744.0,,6472,6472,5116,4894,1356,1578,1100924
52,1007,9941,9941,7525,6839,2416,3102,9613.0,,7387.0,,2226.0,,8683,8683,6992,6198,1691,2485,1200138
53,1015,7843,7843,6172,5555,1671,2288,7540.0,,6108.0,,1432.0,,6832,6832,5854,5135,978,1697,1200179
54,1023,13195,13195,10592,9893,2603,3302,12639.0,,10026.0,,2613.0,,12299,12299,10384,9517,1915,2782,1200807
55,1031,3771,3771,2612,2421,1159,1350,3566.0,,2992.0,,574.0,,3316,3316,2331,1913,985,1403,1200435
56,1040,11337,11337,8257,6602,3080,4735,10491.0,,8616.0,,1875.0,,9530,9530,7051,5202,2479,4328,1200351
57,1058,18230,18230,14567,13822,3663,4408,16844.0,,13522.0,,3322.0,,16041,16041,13445,12325,2596,3716,1200104
58,1066,7214,7214,5637,4089,1577,3125,6570.0,,5658.0,,912.0,,6075,6075,4636,3202,1439,2873,1200393
